Aelurodon,Aelurodon wheelerianus,18.2,18.2
Tephrocyon,Tephrocyon rurestris,14.1815,14.785
Ectopocynus,Ectopocynus intermedius,25.615000000000002,25.615000000000002
Urocyon,Urocyon webbi,7.6000000000000005,7.6000000000000005
Canis,Canis edwardii,1.05,14.1815
Vulpes,Vulpes vulpes,0.00585,2.894
Enhydrocyon,Enhydrocyon crassidens,22.615000000000002,28.55
Leptocyon,Leptocyon delicatus,25.615000000000002,25.615000000000002
Mesocyon,Mesocyon temnodon,22.615000000000002,33.599999999999994
Aelurodon,Aelurodon asthenostylus,14.785,18.2
Canis,Canis (Pseudalopex),0.06885,1.29985
Chrysocyon,Chrysocyon,1.294,1.294
Cynarctus,Cynarctus wangi,14.785,14.785
Vulpes,Vulpes kernensis,11.95,11.95
Hesperocyon,Hesperocyon coloradensis,33.599999999999994,33.599999999999994
Phlaocyon,Phlaocyon mariae,18.2,18.2
Urocyon,Urocyon minicephalus,1.05,1.05
Sunkahetanka,Sunkahetanka geringensis,25.615000000000002,28.55
Psalidocyon,Psalidocyon marianae,14.785,18.2
Cormocyon,Cormocyon,28.55,28.55
Phlaocyon,Phlaocyon,18.2,25.615000000000002
Canis,Canis proplatensis,1.6845,1.6845
Canis,Canis thooides,3.35,3.35
Caninae,Caninae,0.06885,25.55
Chrysocyon,Chrysocyon brachyurus,1.294,1.6845
Canidae,Canidae,0.06885,35.55
Cynarctoides,Cynarctoides acridens,14.785,25.615000000000002
Eucyon,Eucyon,3.9605,8.470500000000001
Cynarctoides,Cynarctoides lemur,22.615000000000002,28.55
Phlaocyon,Phlaocyon annectens,22.615000000000002,22.615000000000002
Phlaocyon,Phlaocyon marslandensis,18.2,18.2
Protemnocyon,Protemnocyon inflatus,33.599999999999994,33.599999999999994
Osbornodon,Osbornodon fricki,14.785,18.2
Metalopex,Metalopex macconnelli,11.95,14.1815
Urocyon,Urocyon cinereoargenteus,0.00585,3.35
Cynarctus,Cynarctus voorhiesi,11.95,11.95
Borophagus,Borophagus littoralis,11.95,14.1815
Leptocyon,Leptocyon vulpinus,18.2,25.615000000000002
Epicyon,Epicyon haydeni,7.6000000000000005,18.2
Nyctereutes,Nyctereutes,1.29985,7.0165
Protomarctus,Protomarctus optatus,14.1815,18.205000000000002
Cynodictis,Cynodictis lacustris,35.55,35.95
Alopex,Alopex,2.6723500000000002,2.6723500000000002
Mesocyon,Mesocyon coryphaeus,25.615000000000002,25.615000000000002
Carpocyon,Carpocyon,14.1815,14.785
Leptocyon,Leptocyon leidyi,14.785,22.615000000000002
Paraenhydrocyon,Paraenhydrocyon wallovianus,22.615000000000002,25.615000000000002
Phlaocyon,Phlaocyon yatkolai,18.2,18.2
Archaeocyon,Archaeocyon pavidus,25.615000000000002,32.05
Vulpes,Vulpes vulpes macroura,0.06885,0.06885
Chailicyon,Chailicyon crassidens,42.900000000000006,42.900000000000006
Paratomarctus,Paratomarctus temerarius,9.25,14.895
Cynotherium,Cynotherium sardous,0.06885,1.80585
Cynodesmus,Cynodesmus thooides,25.615000000000002,32.05
Mesocyon,Mesocyon brachyops,25.615000000000002,25.615000000000002
Cynarctoides,Cynarctoides harlowi,22.615000000000002,22.615000000000002
Osbornodon,Osbornodon scitulus,18.2,18.2
Enhydrocyon,Enhydrocyon,25.55,32.05
Enhydrocyon,Enhydrocyon basilatus,22.615000000000002,22.615000000000002
Cynarctoides,Cynarctoides whistleri,18.2,18.2
Rhizocyon,Rhizocyon oregonensis,25.615000000000002,25.615000000000002
Mesocyon,Mesocyon,25.615000000000002,25.615000000000002
Chrysocyon,Chrysocyon nearcticus,3.35,3.35
Otocyon,Otocyon megalotis,0.00585,1.29985
Microtomarctus,Microtomarctus conferta,14.1815,18.2
Xenocyon,Xenocyon lycaonoides,0.4535,1.6845
Metalopex,Metalopex bakeri,7.6000000000000005,7.6000000000000005
Dusicyon,Dusicyon avus,0.06885,0.3965
Desmocyon,Desmocyon,22.615000000000002,22.615000000000002
Urocyon,Urocyon galushai,3.35,3.35
Desmocyon,Desmocyon matthewi,18.2,18.2
Cynodesmus,Cynodesmus martini,25.615000000000002,25.615000000000002
Caedocyon,Caedocyon tedfordi,25.615000000000002,25.615000000000002
Ectopocynus,Ectopocynus simplicidens,18.2,18.2
Euoplocyon,Euoplocyon brachygnathus,14.785,18.2
Protocyon,Protocyon orcesi,0.39635000000000004,0.39635000000000004
Canis,Canis ferox,3.35,7.6000000000000005
Phlaocyon,Phlaocyon leucosteus,18.2,22.615000000000002
Epicyon,Epicyon,7.6000000000000005,11.95
Cormocyon,Cormocyon haydeni,22.615000000000002,25.615000000000002
Protocyon,Protocyon troglodytes,0.063,1.294
Tomarctus,Tomarctus hippophaga,14.1815,18.2
Osbornodon,Osbornodon iamonensis,18.2,19.5
Canis,Canis mesomelas,0.00585,3.9605
Epicyon,Epicyon aelurodontoides,7.6000000000000005,7.6000000000000005
Aelurodon,Aelurodon,8.470500000000001,14.785
Hesperocyon,Hesperocyon gregarius,32.05,38.8
Vulpes,Vulpes chama,0.00585,1.6845
Canis,Canis latrans,0.00585,3.35
Protocyon,Protocyon tarijensis,1.6845,1.6845
Lycaon,Lycaon,0.4535,3.0940000000000003
Nyctereutes,Nyctereutes procyonoides,0.06885,1.294
Vulpes,Vulpes velox,0.063,3.35
Canis,Canis rufus,0.06885,3.35
Otarocyon,Otarocyon macdonaldi,33.599999999999994,33.599999999999994
Canis,Canis,0.00585,12.809000000000001
Osbornodon,Osbornodon brachypus,18.2,22.615000000000002
Canis,Canis lepophagus,0.06885,7.6000000000000005
Canis,Canis familiaris,0.00585,1.294
Osbornodon,Osbornodon wangi,25.615000000000002,25.615000000000002
Cynarctus,Cynarctus marylandica,14.895,18.205000000000002
Canis,Canis dirus,0.06885,1.6845
Gobicyon,Gobicyon,10.6515,12.719999999999999
Dusicyon,Dusicyon,0.00585,1.29985
Vulpes,Vulpes stenognathus,1.05,14.785
Alopex,Alopex lagopus,0.00585,1.05
Cerdocyon,Cerdocyon avius,3.35,3.9605
Leptocyon,Leptocyon matthewi,9.25,11.95
Canis,Canis lupus,0.00585,3.0940000000000003
Dusicyon,Dusicyon sechurae,0.39635000000000004,0.39635000000000004
Cynarctus,Cynarctus crucidens,8.470500000000001,14.1815
Hesperocyon,Hesperocyon,25.615000000000002,43.3
Ectopocynus,Ectopocynus antiquus,25.615000000000002,32.05
